872420489  41 9 -1 -1.64963
872420617  42 9 -1 -1.65434
872420745  43 9 -1 -1.6586
872420873  44 9 -1 -1.66241
872421001  45 9 -1 -1.66576
872421129  46 9 -1 -1.66731
872421257  47 9 -1 -1.66937
872421385  48 9 -1 -1.67093
872421513  49 9 -1 -1.67199
872421641  50 9 -1 -1.67256
872421769  51 9 -1 -1.67123
872421897  52 9 -1 -1.67071
872422025  53 9 -1 -1.6697
872422153  54 9 -1 -1.66818
872422281  55 9 -1 -1.66618
872422409  56 9 -1 -1.66468
872422537  57 9 -1 -1.66138
872422665  58 9 -1 -1.65762
872422793  59 9 -1 -1.65341
872422921  60 9 -1 -1.64875
872423049  61 9 -1 -1.64569
872423177  62 9 -1 -1.63987
872423305  63 9 -1 -1.63366
872423433  64 9 -1 -1.62707
872423561  65 9 -1 -1.62012
872423689  66 9 -1 -1.61576
872423817  67 9 -1 -1.60783
872423945  68 9 -1 -1.5996
872424073  69 9 -1 -1.59109
872424201  70 9 -1 -1.58231
872424329  71 9 -1 -1.57698
872424457  72 9 -1 -1.56743
872424585  73 9 -1 -1.55768
872424713  74 9 -1 -1.54773
872424841  75 9 -1 -1.5376
872424969  76 9 -1 -1.53164
872425097  77 9 -1 -1.52096
872425225  78 9 -1 -1.51014
872425353  79 9 -1 -1.49921
872425481  80 9 -1 -1.48819
872417930  21 10 -1 -1.50356
872418058  22 10 -1 -1.51495
872418186  23 10 -1 -1.52624
872418314  24 10 -1 -1.53742
872418442  25 10 -1 -1.54848
872418570  26 10 -1 -1.555
872418698  27 10 -1 -1.56551
872418826  28 10 -1 -1.57584
872418954  29 10 -1 -1.58598
872419082  30 10 -1 -1.59591
872419210  31 10 -1 -1.60177
872419338  32 10 -1 -1.61093
872419466  33 10 -1 -1.61982
872419594  34 10 -1 -1.62841
872419722  35 10 -1 -1.6367
872419850  36 10 -1 -1.64153
872419978  37 10 -1 -1.64882
872420106  38 10 -1 -1.65574
872420234  39 10 -1 -1.66227
872420362  40 10 -1 -1.66839
872420490  41 10 -1 -1.67182
872420618  42 10 -1 -1.67674
872420746  43 10 -1 -1.6812
872420874  44 10 -1 -1.68518
872421002  45 10 -1 -1.68868
872421130  46 10 -1 -1.6904
872421258  47 10 -1 -1.69256
872421386  48 10 -1 -1.6942
872421514  49 10 -1 -1.69532
872421642  50 10 -1 -1.69591
872421770  51 10 -1 -1.69456
872421898  52 10 -1 -1.69402
872422026  53 10 -1 -1.69295
872422154  54 10 -1 -1.69136
872422282  55 10 -1 -1.68926
872422410  56 10 -1 -1.6876
872422538  57 10 -1 -1.68415
872422666  58 10 -1 -1.68021
872422794  59 10 -1 -1.67581
872422922  60 10 -1 -1.67094
872423050  61 10 -1 -1.66756
872423178  62 10 -1 -1.66149
872423306  63 10 -1 -1.65501
872423434  64 10 -1 -1.64814
872423562  65 10 -1 -1.6409
872423690  66 10 -1 -1.63612
872423818  67 10 -1 -1.62788
872423946  68 10 -1 -1.61932
872424074  69 10 -1 -1.61048
872424202  70 10 -1 -1.60136
872424330  71 10 -1 -1.59554
872424458  72 10 -1 -1.58565
872424586  73 10 -1 -1.57555
872424714  74 10 -1 -1.56525
872424842  75 10 -1 -1.55477
872424970  76 10 -1 -1.54829
872425098  77 10 -1 -1.53726
872425226  78 10 -1 -1.5261
872425354  79 10 -1 -1.51483
872425482  80 10 -1 -1.50347
872417931  21 11 -1 -1.51668
872418059  22 11 -1 -1.52854
872418187  23 11 -1 -1.5403
872418315  24 11 -1 -1.55197
872418443  25 11 -1 -1.56351
872418571  26 11 -1 -1.57018
872418699  27 11 -1 -1.58118
872418827  28 11 -1 -1.59199
872418955  29 11 -1 -1.60261
872419083  30 11 -1 -1.61302
872419211  31 11 -1 -1.61905
872419339  32 11 -1 -1.62868
872419467  33 11 -1 -1.63803
872419595  34 11 -1 -1.64708
872419723  35 11 -1 -1.6558
872419851  36 11 -1 -1.6608
872419979  37 11 -1 -1.66851
872420107  38 11 -1 -1.67582
872420235  39 11 -1 -1.68272
872420363  40 11 -1 -1.68918
872420491  41 11 -1 -1.69276
872420619  42 11 -1 -1.69798
872420747  43 11 -1 -1.70271
872420875  44 11 -1 -1.70694
872421003  45 11 -1 -1.71066
872421131  46 11 -1 -1.71246
872421259  47 11 -1 -1.71477
872421387  48 11 -1 -1.71652
872421515  49 11 -1 -1.71772
872421643  50 11 -1 -1.71836
872421771  51 11 -1 -1.71697
872421899  52 11 -1 -1.71639
872422027  53 11 -1 -1.71524
872422155  54 11 -1 -1.71354
872422283  55 11 -1 -1.71129
872422411  56 11 -1 -1.70955
872422539  57 11 -1 -1.70589
872422667  58 11 -1 -1.70172
872422795  59 11 -1 -1.69704
872422923  60 11 -1 -1.69187
872423051  61 11 -1 -1.68836
872423179  62 11 -1 -1.68194
872423307  63 11 -1 -1.67509
872423435  64 11 -1 -1.66783
872423563  65 11 -1 -1.66018
872423691  66 11 -1 -1.65524
872423819  67 11 -1 -1.64656
872423947  68 11 -1 -1.63756
872424075  69 11 -1 -1.62825
872424203  70 11 -1 -1.61866
872424331  71 11 -1 -1.61268
872424459  72 11 -1 -1.60231
